,Fighter,W/L,Event,Method,Round,Time,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec)
0,JJ Aldrich,win,"UFC Fight Night: Dawson vs. Green  Oct. 07, 2023",U-DEC,3.0,5:00,1200,0.0,67.0,204.0,0.32,70.0,209.0,0.33,0.0,1.0,0.0,0.0,0.0,N/A,0.0,0.0,65.0,135.0,0.48,66.0,136.0,0.49,0.0,0.0,N/A,0.0,0.0,N/A,22.0
1,JJ Aldrich,win,"UFC Fight Night: Holloway vs. The Korean Zombie  Aug. 26, 2023",KO/TKO  Elbows,2.0,4:49,889,0.0,47.0,65.0,0.72,68.0,89.0,0.76,0.0,0.0,N/A,0.0,0.0,N/A,311.0,0.0,11.0,41.0,0.26,27.0,61.0,0.44,3.0,4.0,0.75,0.0,0.0,N/A,98.0
2,JJ Aldrich,loss,"UFC Fight Night: Yan vs. Dvalishvili  Mar. 11, 2023",U-DEC,3.0,5:00,1200,0.0,101.0,204.0,0.49,113.0,216.0,0.52,2.0,2.0,1.0,0.0,0.0,N/A,19.0,0.0,49.0,99.0,0.49,56.0,106.0,0.53,0.0,12.0,0.0,0.0,0.0,N/A,76.0
3,JJ Aldrich,loss,"UFC Fight Night: Volkov vs. Rozenstruik  Jun. 04, 2022",SUB  Guillotine Choke,2.0,2:38,758,0.0,32.0,71.0,0.45,38.0,77.0,0.49,2.0,6.0,0.33,0.0,0.0,N/A,42.0,0.0,48.0,100.0,0.48,68.0,121.0,0.56,0.0,4.0,0.0,1.0,1.0,1.0,56.0
4,JJ Aldrich,win,"UFC Fight Night: Santos vs. Ankalaev  Mar. 12, 2022",U-DEC,3.0,5:00,1200,0.0,60.0,118.0,0.5,76.0,137.0,0.55,0.0,1.0,0.0,0.0,0.0,N/A,187.0,0.0,52.0,139.0,0.37,67.0,154.0,0.44,1.0,6.0,0.16,0.0,0.0,N/A,24.0
5,JJ Aldrich,win,"UFC Fight Night: Barboza vs. Chikadze  Aug. 28, 2021",U-DEC,3.0,5:00,1200,0.0,93.0,134.0,0.69,121.0,165.0,0.73,1.0,2.0,0.5,0.0,0.0,N/A,259.0,0.0,70.0,162.0,0.43,87.0,185.0,0.47,0.0,5.0,0.0,0.0,0.0,N/A,113.0
6,JJ Aldrich,win,"UFC Fight Night: Edwards vs. Muhammad  Mar. 13, 2021",S-DEC,3.0,5:00,1200,0.0,45.0,80.0,0.56,58.0,99.0,0.59,4.0,7.0,0.57,0.0,0.0,N/A,344.0,0.0,55.0,131.0,0.41,121.0,202.0,0.6,0.0,1.0,0.0,0.0,0.0,N/A,2.0
7,JJ Aldrich,loss,"UFC 246: McGregor vs. Cowboy  Jan. 18, 2020",S-DEC,3.0,5:00,1200,0.0,58.0,144.0,0.4,69.0,156.0,0.44,0.0,0.0,N/A,0.0,0.0,N/A,3.0,0.0,118.0,323.0,0.36,121.0,327.0,0.37,0.0,0.0,N/A,0.0,0.0,N/A,121.0
8,JJ Aldrich,win,"UFC Fight Night: Joanna vs. Waterson  Oct. 12, 2019",U-DEC,3.0,5:00,1200,0.0,74.0,160.0,0.46,78.0,164.0,0.48,1.0,2.0,0.5,0.0,0.0,N/A,112.0,0.0,54.0,147.0,0.36,60.0,153.0,0.39,1.0,1.0,1.0,0.0,0.0,N/A,21.0
9,JJ Aldrich,loss,"UFC Fight Night: Thompson vs. Pettis  Mar. 23, 2019",KO/TKO  Punches,2.0,3:01,781,0.0,25.0,85.0,0.29,28.0,88.0,0.32,0.0,0.0,N/A,0.0,0.0,N/A,39.0,0.0,55.0,110.0,0.5,59.0,115.0,0.51,0.0,0.0,N/A,0.0,0.0,N/A,2.0
10,JJ Aldrich,win,"UFC 227: Dillashaw vs. Garbrandt 2  Aug. 04, 2018",U-DEC,3.0,5:00,1200,0.0,40.0,83.0,0.48,50.0,96.0,0.52,0.0,1.0,0.0,0.0,0.0,N/A,357.0,0.0,46.0,129.0,0.35,86.0,175.0,0.49,1.0,5.0,0.2,0.0,0.0,N/A,62.0
11,JJ Aldrich,win,"UFC Fight Night: Stephens vs. Choi  Jan. 14, 2018",U-DEC,3.0,5:00,1200,0.0,54.0,150.0,0.36,67.0,164.0,0.41,1.0,5.0,0.2,0.0,0.0,N/A,112.0,0.0,38.0,136.0,0.27,64.0,163.0,0.39,0.0,1.0,0.0,0.0,0.0,N/A,0.0
12,JJ Aldrich,win,"UFC Fight Night: Lewis vs. Hunt  Jun. 10, 2017",U-DEC,3.0,5:00,1200,0.0,98.0,245.0,0.4,98.0,245.0,0.4,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,92.0,250.0,0.36,93.0,252.0,0.37,0.0,0.0,N/A,0.0,0.0,N/A,2.0
13,JJ Aldrich,loss,"UFC Fight Night: Lewis vs. Abdurakhimov  Dec. 09, 2016",U-DEC,3.0,5:00,1200,0.0,31.0,81.0,0.38,111.0,161.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,46.0,0.0,56.0,124.0,0.45,90.0,161.0,0.56,4.0,6.0,0.66,0.0,0.0,N/A,424.0
0,Irina Alekseeva,loss,"UFC Fight Night: Yusuff vs. Barboza  Oct. 14, 2023",U-DEC,3.0,5:00,1200,1.0,48.0,108.0,0.44,60.0,126.0,0.48,1.0,4.0,0.25,0.0,0.0,N/A,50.0,0.0,52.0,95.0,0.54,87.0,148.0,0.59,0.0,1.0,0.0,0.0,0.0,N/A,495.0
1,Irina Alekseeva,win,"UFC Fight Night: Song vs. Simon  Apr. 29, 2023",SUB  Kneebar,1.0,2:11,131,0.0,18.0,44.0,0.4,18.0,44.0,0.41,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,24.0,0.37,9.0,24.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,0.0
0,Talita Alencar,win,"UFC Fight Night: Song vs. Gutierrez  Dec. 09, 2023",S-DEC,3.0,5:00,1200,0.0,57.0,130.0,0.43,80.0,156.0,0.51,0.0,1.0,0.0,0.0,0.0,N/A,14.0,0.0,36.0,157.0,0.22,48.0,176.0,0.27,1.0,9.0,0.11,0.0,0.0,N/A,164.0
1,Talita Alencar,draw,"DWCS 7.7  Sep. 19, 2023",U-DEC,3.0,5:00,1200,0.0,35.0,90.0,0.38,66.0,139.0,0.47,4.0,24.0,0.16,0.0,0.0,N/A,388.0,0.0,87.0,152.0,0.57,136.0,209.0,0.65,1.0,1.0,1.0,0.0,0.0,N/A,221.0
0,Jim Alers,loss,"UFC on FOX: Holm vs. Shevchenko  Jul. 23, 2016",S-DEC,3.0,5:00,1200,0.0,41.0,100.0,0.41,49.0,110.0,0.45,4.0,10.0,0.4,0.0,0.0,N/A,202.0,0.0,76.0,225.0,0.33,95.0,245.0,0.39,1.0,2.0,0.5,0.0,0.0,N/A,46.0
1,Jim Alers,nc,"UFC on FOX: Dos Anjos vs. Cowboy 2  Dec. 19, 2015",CNC,2.0,1:34,694,0.0,25.0,79.0,0.31,25.0,79.0,0.32,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,28.0,77.0,0.36,29.0,78.0,0.37,0.0,0.0,N/A,0.0,0.0,N/A,0.0
2,Jim Alers,loss,"UFC Fight Night: Henderson vs Thatch  Feb. 14, 2015",KO/TKO  Punches,2.0,4:59,899,0.0,33.0,63.0,0.52,41.0,76.0,0.54,1.0,2.0,0.5,1.0,0.0,0,95.0,1.0,42.0,68.0,0.61,54.0,80.0,0.68,0.0,5.0,0.0,0.0,0.0,N/A,143.0
3,Jim Alers,win,"UFC Fight Night: Minotauro vs Nelson  Apr. 11, 2014",S-DEC,3.0,5:00,1200,1.0,36.0,93.0,0.38,97.0,163.0,0.6,2.0,5.0,0.4,0.0,0.0,N/A,386.0,0.0,58.0,101.0,0.57,69.0,112.0,0.62,1.0,3.0,0.33,0.0,0.0,N/A,181.0
0,John Alessio,loss,"UFC 148: Silva vs Sonnen 2  Jul. 07, 2012",U-DEC,3.0,5:00,1200,0.0,35.0,103.0,0.33,63.0,134.0,0.47,0.0,1.0,0.0,0.0,0.0,N/A,126.0,0.0,31.0,69.0,0.44,82.0,128.0,0.64,3.0,7.0,0.42,0.0,0.0,N/A,479.0
1,John Alessio,loss,"UFC 145: Jones vs Evans  Apr. 21, 2012",U-DEC,3.0,5:00,1200,0.0,33.0,87.0,0.37,82.0,140.0,0.59,0.0,0.0,N/A,0.0,0.0,N/A,12.0,0.0,74.0,107.0,0.69,117.0,153.0,0.76,5.0,11.0,0.45,0.0,0.0,N/A,584.0
2,John Alessio,loss,"DREAM 8: Welterweight Grand Prix 2009 1st Round  Apr. 05, 2009",SUB  Armbar,1.0,7:34,454,0.0,8.0,20.0,0.4,12.0,24.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,18.0,35.0,0.51,46.0,66.0,0.7,1.0,4.0,0.25,2.0,1.0,0.5,N/A
3,John Alessio,loss,"WEC 33: Marshall vs. Stann  Mar. 26, 2008",DQ,1.0,1:50,110,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,N/A,1.0,0.0,0,1,0.0,6.0,10.0,0.6,14.0,18.0,0.78,1.0,1.0,1.0,0.0,0.0,N/A,60
4,John Alessio,win,"WEC 31: Faber vs. Curran  Dec. 12, 2007",U-DEC,3.0,5:00,1200,0.0,42.0,94.0,0.44,79.0,131.0,0.6,4.0,8.0,0.5,3.0,0.0,0,432,0.0,24.0,84.0,0.28,76.0,139.0,0.55,1.0,6.0,0.16,0.0,0.0,N/A,117
5,John Alessio,win,"WEC 30: McCullough vs. Crunkilton  Sep. 05, 2007",U-DEC,3.0,5:00,1200,0.0,53.0,118.0,0.44,113.0,188.0,0.6,3.0,6.0,0.5,0.0,0.0,N/A,565,0.0,9.0,43.0,0.2,13.0,47.0,0.28,0.0,1.0,0.0,0.0,0.0,N/A,0
6,John Alessio,win,"WEC 28: Faber vs. Farrar  Jun. 03, 2007",SUB  Guillotine Choke,1.0,1:17,77,0.0,5.0,14.0,0.35,5.0,14.0,0.36,0.0,0.0,N/A,1.0,1.0,1.0,0,0.0,1.0,12.0,0.08,1.0,12.0,0.08,1.0,1.0,1.0,0.0,0.0,N/A,9
7,John Alessio,loss,"WEC 26: Condit vs. Alessio  Mar. 24, 2007",SUB  Rear Naked Choke,2.0,4:59,899,0.0,3.0,25.0,0.12,7.0,32.0,0.22,4.0,11.0,0.36,0.0,0.0,N/A,172,0.0,32.0,79.0,0.4,70.0,123.0,0.57,0.0,0.0,N/A,1.0,1.0,1.0,69
8,John Alessio,win,"WEC 25: McCullough vs. Cope  Jan. 20, 2007",SUB  Rear Naked Choke,1.0,4:50,290,0.0,8.0,14.0,0.57,29.0,42.0,0.69,1.0,1.0,1.0,2.0,1.0,0.5,219,0.0,1.0,9.0,0.11,3.0,11.0,0.27,0.0,0.0,N/A,0.0,0.0,N/A,0
9,John Alessio,loss,"Ortiz vs Shamrock 3: The Final Chapter  Oct. 10, 2006",U-DEC,3.0,5:00,1200,0.0,13.0,82.0,0.15,18.0,87.0,0.21,2.0,10.0,0.2,0.0,0.0,N/A,251,0.0,63.0,142.0,0.44,84.0,164.0,0.51,0.0,0.0,N/A,0.0,0.0,N/A,76
10,John Alessio,win,"WEC 23: Hot August Fights  Aug. 17, 2006",SUB  Rear Naked Choke,3.0,1:52,1012,1.0,53.0,72.0,0.73,68.0,89.0,0.76,2.0,4.0,0.5,2.0,1.0,0.5,N/A,0.0,88.0,153.0,0.57,96.0,168.0,0.57,2.0,4.0,0.5,0.0,0.0,N/A,N/A
11,John Alessio,loss,"UFC 60: Hughes vs Gracie  May. 27, 2006",U-DEC,3.0,5:00,1200,0.0,17.0,57.0,0.29,23.0,63.0,0.37,0.0,0.0,N/A,1.0,0.0,0,0,0.0,9.0,67.0,0.13,25.0,87.0,0.29,1.0,16.0,0.06,0.0,0.0,N/A,262
12,John Alessio,loss,"UFC 26: Ultimate Field Of Dreams  Jun. 09, 2000",SUB  Armbar,2.0,1:43,703,0.0,1.0,2.0,0.5,9.0,10.0,0.9,0.0,0.0,N/A,2.0,0.0,0,0,0.0,9.0,18.0,0.5,44.0,53.0,0.83,2.0,2.0,1.0,1.0,1.0,1.0,303
0,Houston Alexander,loss,"The Ultimate Fighter: Heavyweights Finale  Dec. 05, 2009",U-DEC,3.0,5:00,1200,0.0,43.0,79.0,0.54,61.0,98.0,0.62,0.0,0.0,N/A,0.0,0.0,N/A,16.0,0.0,27.0,66.0,0.4,36.0,76.0,0.47,4.0,4.0,1.0,1.0,0.0,0.0,199.0
1,Houston Alexander,loss,"UFC Fight Night: Diaz vs Neer  Sep. 17, 2008",SUB  Arm Triangle,1.0,4:53,293,0.0,12.0,21.0,0.57,22.0,31.0,0.71,0.0,0.0,N/A,0.0,0.0,N/A,32.0,0.0,24.0,38.0,0.63,53.0,69.0,0.77,1.0,4.0,0.25,2.0,1.0,0.5,196.0
