,Fighter,W/L,Date,Method,Round,Time,Method Code,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec),Opp. Fighter,Opp. Fighter Code,Target
55,Israel Adesanya,loss,2022-11-12,KO/TKO,5.0,2:01,2,1621,0.0,86.0,162.0,0.53,119.0,209.0,0.57,1.0,4.0,0.25,0.0,0.0,N/A,394.0,0.0,91.0,157.0,0.57,140.0,214.0,0.65,1.0,1.0,1.0,0.0,0.0,N/A,31.0,Alex Pereira,40,0
56,Israel Adesanya,win,2022-07-02,U-DEC,5.0,5:00,6,1800,0.0,116.0,230.0,0.5,163.0,277.0,0.59,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,90.0,157.0,0.57,141.0,217.0,0.65,0.0,4.0,0.0,0.0,0.0,N/A,254.0,Jared Cannonier,612,1
57,Israel Adesanya,win,2022-02-12,U-DEC,5.0,5:00,6,1800,1.0,79.0,169.0,0.46,98.0,188.0,0.52,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,59.0,136.0,0.43,74.0,151.0,0.49,4.0,10.0,0.4,0.0,0.0,N/A,220.0,Robert Whittaker,1175,1
58,Israel Adesanya,win,2021-06-12,U-DEC,5.0,5:00,6,1800,0.0,96.0,181.0,0.53,122.0,208.0,0.59,0.0,0.0,N/A,0.0,0.0,N/A,36.0,0.0,58.0,176.0,0.32,91.0,211.0,0.43,4.0,14.0,0.28,0.0,0.0,N/A,415.0,Marvin Vettori,941,1
59,Israel Adesanya,loss,2021-03-06,U-DEC,5.0,5:00,6,1800,0.0,78.0,161.0,0.48,99.0,182.0,0.54,0.0,0.0,N/A,0.0,0.0,N/A,1.0,0.0,107.0,193.0,0.55,184.0,276.0,0.67,3.0,5.0,0.6,0.0,0.0,N/A,426.0,Jan Blachowicz,610,0
60,Israel Adesanya,win,2020-09-26,KO/TKO,2.0,3:59,2,839,1.0,55.0,84.0,0.65,55.0,84.0,0.65,0.0,0.0,N/A,0.0,0.0,N/A,9.0,0.0,12.0,26.0,0.46,12.0,26.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,1.0,Paulo Costa,1102,1
61,Israel Adesanya,win,2020-03-07,U-DEC,5.0,5:00,6,1800,0.0,48.0,132.0,0.36,48.0,132.0,0.36,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,40.0,89.0,0.44,40.0,89.0,0.45,0.0,3.0,0.0,0.0,0.0,N/A,0.0,Yoel Romero,1417,1
62,Israel Adesanya,win,2019-10-05,KO/TKO,2.0,3:33,2,813,2.0,40.0,95.0,0.42,40.0,95.0,0.42,0.0,0.0,N/A,0.0,0.0,N/A,4.0,0.0,32.0,116.0,0.27,32.0,116.0,0.28,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Robert Whittaker,1175,1
63,Israel Adesanya,win,2019-04-13,U-DEC,5.0,5:00,6,1800,4.0,109.0,237.0,0.45,119.0,247.0,0.48,0.0,0.0,N/A,2.0,0.0,0,42.0,0.0,91.0,220.0,0.41,92.0,222.0,0.41,1.0,9.0,0.11,0.0,0.0,N/A,81.0,Kelvin Gastelum,790,1
64,Israel Adesanya,win,2019-02-09,U-DEC,3.0,5:00,6,1200,0.0,65.0,132.0,0.49,65.0,132.0,0.49,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,31.0,72.0,0.43,34.0,75.0,0.45,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Anderson Silva,69,1
65,Israel Adesanya,win,2018-11-03,KO/TKO,1.0,4:51,2,291,3.0,13.0,23.0,0.56,15.0,25.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,10.0,0.0,3.0,14.0,0.21,9.0,23.0,0.39,0.0,7.0,0.0,0.0,0.0,N/A,95.0,Derek Brunson,372,1
